"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","background-image:url(//yastatic.net/s3/home/div/geoblock_v2/weather_new/bkn_d.svg)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","informers3__item-icon","","","","","","","","","","","","","","","","","","","","","","","","","","","32","32","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > DIV:nth-child(3) > A:nth-child(1) > DIV:nth-child(1)","0"
"a","","","","","","","","","","","","","","","","https://yandex.ru/maps/2/saint-petersburg/probki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noopener","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","home-link2 informers3__item informers3__traffic informers3__traffic_yellow home-link2_color_inherit home-link2_hover_secondary","","","","","","","","","","","","","","","","","","_blank","","","","","","","","4","42","64","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > DIV:nth-child(3) > A:nth-child(2)","1"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","informers3__item-icon","","","","","","","","","","","","","","","","","","","","","","","","","","","32","32","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > DIV:nth-child(3) > A:nth-child(2) > DIV:nth-child(1)","0"
"span","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a11y-hidden","","","","","","","","","","","","","","","","","","","","","","","","","","Биржевые курсы","1","1","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > DIV:nth-child(3) > DIV:nth-child(3) > SPAN:nth-child(1)","0"
"a","","","","","","","","","","","","","","","","https://yandex.ru/search/?lr=2&text=usd+moex&wiz=finance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noopener","","","","","","","","","","","","","","","","","","","","","","","","","usd moex","","","","","","","","","home-link2 informers3__stocks-item home-link2_color_gray home-link2_hover_secondary","","","","","","","","","","","","","","","","","","_blank","","","","","","","","USD 75,46","18","76","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > DIV:nth-child(3) > DIV:nth-child(3) > A:nth-child(2)","1"
"a","","","","","","","","","","","","","","","","https://yandex.ru/search/?lr=2&text=eur+moex&wiz=finance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noopener","","","","","","","","","","","","","","","","","","","","","","","","","eur moex","","","","","","","","","home-link2 informers3__stocks-item home-link2_color_gray home-link2_hover_secondary","","","","","","","","","","","","","","","","","","_blank","","","","","","","","EUR 80,00","18","76","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > DIV:nth-child(3) > DIV:nth-child(3) > A:nth-child(3)","1"
"a","","","","","","","","","","","","","","","","https://yandex.ru/tune/geo?retpath=https%3a%2f%2fya.ru%2f%3fnr%3d1%26redirect_ts%3d1677838920.00000&nosync=1&morda_geolocation=1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noopener","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","home-link2 informers3__geo home-link2_color_gray home-link2_hover_secondary","","","","","","","","","","","","","","","","","","_blank","","","","","","","","Санкт-Петербург","17","112","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > DIV:nth-child(3) > A:nth-child(4)","0"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","services-pinned i-bem services-pinned_js_inited","","","","","","","","","","","","","","","","","","","","","","","","","","","586","111","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(5)","1"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","services-pinned__item services-pinned__add services-pinned__close-focus","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(5) > DIV:nth-child(1) > DIV:nth-child(2)","0"
"a","","","","","","","","","","","","","","","","https://yandex.ru/all","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noopener","","","","","","","","","","","","","","","","","","","","","","","","","все сервисы","","","","","","","","","home-link2 services-pinned__item services-pinned__all","","","","","","","","","","","","","","","","","","_blank","","","","","","","","","40","40","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(5) > DIV:nth-child(1) > A:nth-child(3)","0"
"button","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","alice-fab i-mini-bem alice-fab_load-on-timeout_yes alice-fab_js_inited","","","","","","","","","","","","","","","","","","","","","","","","","","","44","44","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > BUTTON:nth-child(7)","1"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","alice-fab__promo-message","","","","","","","","","","","","","","","","","","","","","","","","","","Привет. Поболтаем?","47","182","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(8) > DIV:nth-child(1)","0"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","alice-fab__promo-tail","","","","","","","","","","","","","","","","","","","","","","","","","","","31","24","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(8) > DIV:nth-child(2)","1"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","position:absolute;left:-10px;top:0;width:1px;height:1px;overflow:hidden;","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","some-class","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","HTML > BODY:nth-child(2) > DIV:nth-child(12)","1"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","position:absolute;left:-10px;top:0;width:1px;height:1px;overflow:hidden;","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","some-class","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","HTML > BODY:nth-child(2) > DIV:nth-child(13)","1"
